id,date_created,response_status,funded_past_3_yrs,applied_not_funded,org_role,org_role_other_txt,primary_focus,primary_focus_other_txt,postal_code,purpose,confident_in_mac_ability,deadline_comms,guidelines_comms,manipogo,trasparent_granting,response_enquiries,response_results,feedback,complaints_process,improve,connection_to_arts_community,disconnect_explain_txt,rank_advocacy,rank_measure_impact,rank_board_trg,rank_financial_trg,rank_leadership_trg,rank_shared_services,rank_loan_access,rank_networking,rank_marketing,future_impact_txt,comments_txt,funded_status,role_grouped,fsa,.row_id,region,location
118987412741,2025-10-29,partial,Yes,No,Arts/Cultural Organization,NA,Theatre,NA,R3Y1C3,To support the widest range of Manitoba arts and arts practitioner.,Very confident,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Feedback regarding declined grant applications could be more specific.,Very connected,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,NA,Funded,Organization,R3Y,1,Capital Region,Winnipeg Area
118987295642,2025-10-29,partial,Yes,No,Community-based Organization,NA,Visual Arts,NA,R3B0B5,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,Missing,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,NA,Funded,Organization,R3B,2,Capital Region,Winnipeg Area
118987237388,2025-10-29,completed,No,Yes,Individual Artist,NA,Media Arts,NA,R3G1Y4,To provide funding to support and enhance the creative output in Manitoba,Not at all confident,Good,Fair,Fair,Poor,Good,Fair,Poor,Poor,"STOP funding based on identifying policies. Projects should be funded based on MERIT NOT if you are BIPOC. LGBTQ, that's ridiculous. You've lost ALL of my respect as an organization.",Very disconnected,They have no clue what is happening to artists. All they do is promote division among artists and fund based on identity politics.,9,1,5,6,3,8,7,2,4,They need to revamp themselves. Fund projects based on MERIT. Not prioritizing individuals who are getting funding NOT on quality of work but sexual orientation. Get rid of the she/them/they stupidity at the end of your name. You are a laughable organization.,Get with the times and start funding projects that deserve to be funded. Set up a meeting with artists and hear their feedback. GET OUT there instead of hiding behind your desk. MAC has become an useless organization.,"Applied, not funded",Individual,R3G,3,Capital Region,Winnipeg Area
118987149404,2025-10-29,completed,Yes,Yes,Arts/Cultural Organization,NA,Visual Arts,NA,R3B1T2,"To channel provincial funding to arts organizations and artists in a transparent, fair manner, adjudicated by peers.",Very confident,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,"Simpler, shorter application forms.",Connected,NA,1,2,7,5,6,8,9,3,4,Convince the provincial government that arts and culture are essential industries and if funded will yield significant returns.,NA,Funded,Organization,R3B,4,Capital Region,Winnipeg Area
118987138551,2025-10-29,completed,No,Yes,Individual Artist,NA,Visual Arts,NA,R3B0P5,"To support the creation, dissemination and enjoyment of original works of art in Manitoba.",Confident,Good,Fair,Good,Fair,Excellent,Fair,Fair,Fair,"Greater advocacy with the provincial government to increase the amount of funding, and number of total grants, provided to individual artists. Manitoba artists have long been pushed out to other provinces due to lack of resources, despite its long-earned history as a place of exceptional artistic production and intellect. Manitoba has an opportunity to keep its creative population in the province, as costs skyrocket throughout the country, and therefore must lead in its ability to support the creative community with bold funding. ",Connected,NA,1,2,6,5,7,9,8,3,4,"- significantly increased available funding to individual artists, both in the number of grants and allocation amounts
- restored and significantly increased core operating grants to organizations in order to reduce the burden of applying for multiple project grants which only distract from principal organizational mandates and programs
- significantly increase its advocacy and funding levels for the visual arts in Manitoba, to bring greater equity between disciplines as performing arts currently hold greater attention and funding 
- decrease waiting times for grant results","The greatest support MAC can provide to the artistic community now, and for the future, is greater funding for individual artists and greater core funding to organizations. All other plans and ideas simply behave as distractions and additional burdens to the creative community in this moment. Simplify and increase.","Applied, not funded",Individual,R3B,5,Capital Region,Winnipeg Area
118987118094,2025-10-29,completed,No,No,Individual Artist,NA,Visual Arts,NA,R2J2G5,Select a few artists out of those who apply for funding.,Not very confident,Good,Good,Good,Fair,Don't know,Don't know,Don't know,Don't know,Lobby for UBI for artists. The grant system is inadequate and onerous.,Disconnected,"Too much effort to get through the eye of the needle. The system is elitist, difficult and demanding and wasteful of artists' time and energy... as well  as demoralizing. It is depressing to think about all that effort over and over for so little return. The amounts given have not kept up with inflation. It is barely worth it, if at all.",1,3,5,8,4,7,9,2,6,You can tweak the selection process forever but it is still going to be too few getting too little. How about a lottery to raise funds? How about giving operating funds instead of only project-specific funds?,NA,"Did not apply, not funded",Individual,R2J,6,Capital Region,Winnipeg Area
118987076603,2025-10-29,completed,Yes,Yes,Individual Artist,NA,Visual Arts,NA,R2N1R8,Support artists and promote arts,Confident,Excellent,Excellent,Excellent,Excellent,Good,Poor,Good,Good,More funding to support Artist in Sciools would be great! Supporting students creativity will result in happier and more successful humans in the future ,Connected,NA,1,8,4,2,6,3,5,9,7,"As art programs are disappearing from schools, MAC would be taking a leadership role providing more support to artists and school and in this way impact positively the life’s a many students in need of creative outlets. ",I truly believe that the impact that art has in young students lives is fundamental. Investing resources in them will resolve a lot of social issues in the future.,Funded,Individual,R2N,7,Capital Region,Winnipeg Area
118986589974,2025-10-28,completed,Yes,Yes,Individual Artist,NA,Visual Arts,NA,R0C2Z0,To promote the arts and artists in Manitoba,Confident,Excellent,Good,Good,Good,Excellent,Excellent,Fair,Good,"I know this is hard, but stricter requirements or more training for juries to reduce bias or support folks not familiar with the process and fair jury practices. E.g. not fair to doc one application arbitrarily to try and save another that they are familiar with. ",Connected,NA,3,2,4,1,7,5,8,6,9,"multi year funding opportunities (with check ins) for established artist committed to their practice, increased funding for emerging artists, increase streams for writers, workshop opportunities to support art careers, etc. ","Advocating for multi year funding streams for established artists would be amazing for building stability and confidence in the arts, it is very hard to rely on yearly funding calls. Having a certain amount of money secured over several years (e.g. 3 or 5 years) to develop my practice would be a game changer. e.g. funds to cover 2 days per week or wages, for a specific length of time, and regular check ins to ensure appropriate use of funds. ",Funded,Individual,R0C,8,Interlake,Outside Wpg
118986547038,2025-10-28,completed,Yes,Yes,Individual Artist,NA,Music,NA,R2J3P2,"To provide funding to aid artists in making a living doing their art form, and provide opportunities for the artists work to be shared with the public.",Not at all confident,Good,Good,Good,Poor,Fair,Good,Poor,Poor,"Be open minded to the needs and wants of the community as a whole, rather than making decisions internally, which is the impression that is given.",Very disconnected,"Seems the council is out of touch with what artists are doing, and what they need to continue practicing their art form.
",4,2,3,7,1,8,6,5,9,"Provided realistic funding opportunities to meet the needs of professional artists.  Less bureaucracy, allowing artists to do their work.","Personally speaking, it's unfortunate the way the council has dismantled the AIS program  - that program not only allowed artists to support their craft, but had brought so many opportunities to introduce young people to a range of different art forms, thereby increasing the likelihood that more students would make the arts a part of their lives.  Very sad to see the path the council has taken.
",Funded,Individual,R2J,9,Capital Region,Winnipeg Area
118986479437,2025-10-28,completed,No,Yes,Missing,Curator,Missing,Publishing,R3A1B5,Supporting excellence in the arts,Not very confident,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Transparency and accountability regarding assessors’ grant decisions ,Disconnected,MAC Board members are not visible and do not interact with the visual arts community.,1,7,3,4,5,6,8,9,2,Allow marketing initiatives for visual artists; and support commercial galleries in Manitoba.,Audited financial statements should be easily available to the general public ,"Applied, not funded",NA,R3A,10,Capital Region,Winnipeg Area
